overbust,bust,underbust,natural waist,waist,low waist,hip,gender,study
94.7,96.8,78.3,74.6,,82.3,95.6,Cis woman,ANSUR (1988)
81.2,83.5,71.6,69.6,,74.1,94.8,Cis woman,ANSUR (1988)
97.6,102.9,88.3,83.9,,92.0,102.3,Cis woman,ANSUR (1988)
94.3,106.8,89.0,88.4,,100.1,109.0,Cis woman,ANSUR (1988)
96.0,98.5,81.2,79.3,,85.1,106.7,Cis woman,ANSUR (1988)
95.5,104.5,86.0,82.3,,93.4,102.6,Cis woman,ANSUR (1988)
88.6,92.0,78.3,72.5,,74.3,100.5,Cis woman,ANSUR (1988)
87.8,89.4,74.8,71.0,,79.5,102.1,Cis woman,ANSUR (1988)
93.5,98.9,78.9,78.0,,86.5,99.8,Cis woman,ANSUR (1988)
86.6,90.5,77.6,73.4,,77.0,98.5,Cis woman,ANSUR (1988)
91.9,95.7,80.3,76.1,,87.5,103.4,Cis woman,ANSUR (1988)
101.5,104.8,86.7,83.4,,91.0,99.8,Cis woman,ANSUR (1988)
86.9,84.9,77.9,67.9,,70.2,87.5,Cis woman,ANSUR (1988)
90.1,92.8,78.7,72.3,,74.9,90.5,Cis woman,ANSUR (1988)
75.7,75.2,68.6,65.4,,65.9,87.7,Cis woman,ANSUR (1988)
90.1,90.4,76.1,74.4,,82.8,99.4,Cis woman,ANSUR (1988)
90.2,103.2,84.5,82.3,,89.2,98.5,Cis woman,ANSUR (1988)
94.8,99.3,80.3,78.5,,87.7,105.2,Cis woman,ANSUR (1988)
90.5,95.7,78.0,75.1,,76.5,92.7,Cis woman,ANSUR (1988)
90.5,91.8,79.7,72.2,,78.3,93.0,Cis woman,ANSUR (1988)
87.0,89.0,74.6,67.6,,72.5,94.5,Cis woman,ANSUR (1988)
98.9,108.8,86.4,90.2,,103.2,104.0,Cis woman,ANSUR (1988)
83.5,87.0,77.4,71.2,,71.6,88.4,Cis woman,ANSUR (1988)
92.8,92.3,78.1,73.8,,79.2,97.2,Cis woman,ANSUR (1988)
85.3,87.7,70.9,67.0,,78.8,99.1,Cis woman,ANSUR (1988)
85.7,88.4,73.5,67.9,,70.7,95.3,Cis woman,ANSUR (1988)
94.6,99.3,78.2,76.4,,79.7,106.1,Cis woman,ANSUR (1988)
87.7,92.6,77.4,68.9,,70.8,94.4,Cis woman,ANSUR (1988)
91.8,91.2,78.6,73.8,,84.4,99.8,Cis woman,ANSUR (1988)
91.8,93.8,78.2,76.8,,79.5,98.9,Cis woman,ANSUR (1988)
89.4,95.8,78.0,76.3,,82.5,101.0,Cis woman,ANSUR (1988)
84.8,87.5,70.6,65.7,,72.5,87.7,Cis woman,ANSUR (1988)
98.2,101.3,80.2,70.6,,86.6,101.7,Cis woman,ANSUR (1988)
82.1,84.5,69.8,65.4,,71.3,96.2,Cis woman,ANSUR (1988)
95.4,100.1,78.7,79.2,,89.5,112.2,Cis woman,ANSUR (1988)
94.7,104.9,81.5,80.4,,92.5,99.4,Cis woman,ANSUR (1988)
92.0,97.4,82.3,72.7,,77.4,95.8,Cis woman,ANSUR (1988)
82.3,85.3,69.6,65.1,,68.9,92.3,Cis woman,ANSUR (1988)
91.9,94.8,80.5,78.9,,79.9,93.4,Cis woman,ANSUR (1988)
94.1,99.2,81.2,76.1,,83.3,100.1,Cis woman,ANSUR (1988)
91.8,95.9,82.5,76.4,,82.1,103.5,Cis woman,ANSUR (1988)
87.7,86.6,71.1,71.1,,75.0,97.6,Cis woman,ANSUR (1988)
84.9,87.4,71.7,64.7,,66.1,83.7,Cis woman,ANSUR (1988)
101.8,117.6,98.5,98.7,,104.7,111.4,Cis woman,ANSUR (1988)
89.2,89.5,79.9,74.2,,84.4,102.5,Cis woman,ANSUR (1988)
87.3,89.3,76.6,66.8,,70.4,91.3,Cis woman,ANSUR (1988)
79.8,82.5,71.7,67.6,,66.9,86.3,Cis woman,ANSUR (1988)
92.6,90.8,76.8,72.9,,81.1,94.9,Cis woman,ANSUR (1988)
92.5,93.7,80.9,76.5,,79.5,103.2,Cis woman,ANSUR (1988)
93.4,95.5,76.0,75.8,,81.3,98.8,Cis woman,ANSUR (1988)
84.2,87.2,74.5,69.3,,68.2,90.0,Cis woman,ANSUR (1988)
88.6,92.6,75.2,69.0,,82.0,99.7,Cis woman,ANSUR (1988)
97.8,100.3,85.9,87.4,,101.1,105.6,Cis woman,ANSUR (1988)
97.2,104.5,86.2,82.0,,83.3,97.7,Cis woman,ANSUR (1988)
86.3,87.0,72.7,65.7,,68.5,90.5,Cis woman,ANSUR (1988)
87.6,92.7,74.7,67.4,,73.2,91.3,Cis woman,ANSUR (1988)
94.5,101.1,83.1,83.5,,89.8,102.1,Cis woman,ANSUR (1988)
82.6,88.9,74.2,74.3,,80.3,91.0,Cis woman,ANSUR (1988)
91.7,95.3,81.2,83.4,,97.1,98.2,Cis woman,ANSUR (1988)
103.3,103.5,87.8,83.7,,92.5,109.9,Cis woman,ANSUR (1988)
87.9,91.2,78.3,71.0,,75.6,95.4,Cis woman,ANSUR (1988)
87.2,88.4,75.5,72.9,,80.5,96.4,Cis woman,ANSUR (1988)
85.5,82.9,74.0,66.5,,76.8,93.6,Cis woman,ANSUR (1988)
93.6,97.0,73.8,81.2,,81.2,101.8,Cis woman,ANSUR (1988)
89.5,91.6,74.3,70.1,,74.6,100.7,Cis woman,ANSUR (1988)
90.8,94.4,77.3,67.8,,70.8,88.3,Cis woman,ANSUR (1988)
88.5,92.9,81.7,75.5,,83.5,96.1,Cis woman,ANSUR (1988)
84.0,83.3,73.3,64.3,,71.5,95.3,Cis woman,ANSUR (1988)
85.8,96.7,75.4,74.7,,79.8,98.1,Cis woman,ANSUR (1988)
89.7,91.0,80.2,68.2,,70.4,95.6,Cis woman,ANSUR (1988)
84.5,86.6,70.0,63.9,,74.4,90.4,Cis woman,ANSUR (1988)
89.7,89.6,77.1,74.8,,80.7,106.5,Cis woman,ANSUR (1988)
92.0,95.4,76.7,73.3,,73.7,97.3,Cis woman,ANSUR (1988)
90.7,96.4,81.8,78.1,,85.8,99.3,Cis woman,ANSUR (1988)
88.2,93.8,75.4,66.8,,73.6,94.4,Cis woman,ANSUR (1988)
